Shipment_ID,Origin_Country,Destination_Country,Shipment_Date,Estimated_Arrival_Date,Actual_Arrival_Date,Transport_Mode,Carrier_Name,Route_Code,Commodity_Type,Declared_Value_USD,Weight_kg,HS_Code,Document_Status,Compliance_Score,Prior_Offense_Count,Tariff_Category,Route_Risk_Index,Inspection_Type,Delay_Reason,Customs_Delay_Days,Risk_Flag
SHP000021,UAE,USA,2021-02-16,2021-03-02,2021-03-02,Air,Carrier_4,R693,Machinery,46555.18,4050.2,9883.17,Error,0.78,2,Low,0.87,Physical,Incorrect HS code classification,0,0
SHP000022,UAE,Australia,2024-12-15,2024-12-25,2024-12-25,Sea,Carrier_33,R182,Pharmaceuticals,40379.93,973.52,2122.86,Complete,0.94,5,Low,0.54,Document,"Incomplete paperwork, requires manual review",0,0
SHP000023,Australia,Germany,2019-06-12,2019-07-06,2019-07-06,Sea,Carrier_27,R773,Food,12168.82,2164.18,9565.50,Missing,0.89,1,High,0.86,Both,Random inspection selected,0,0
SHP000024,Germany,Japan,2023-06-10,2023-06-19,2023-06-20,Road,Carrier_30,R423,Electronics,1340.65,2578.2,1152.68,Error,0.65,4,Low,0.22,Physical,Incorrect HS code classification,1,1
SHP000025,Germany,Australia,2021-12-22,2021-12-31,2021-12-31,Road,Carrier_5,R350,Automotive,47202.58,1649.85,5669.30,Missing,0.71,4,High,0.7,Document,Incorrect HS code classification,0,0
SHP000026,South Africa,China,2022-05-11,2022-06-06,2022-06-06,Sea,Carrier_9,R370,Electronics,18817.85,4860.32,2753.80,Complete,0.98,2,Medium,0.25,Both,High-risk commodity flagged for inspection,0,0
SHP000027,Japan,Germany,2021-12-17,2022-01-07,2022-01-07,Rail,Carrier_17,R966,Electronics,14957.18,232.59,2512.91,Missing,0.77,2,Low,0.5,Physical,Random inspection selected,0,0
SHP000028,USA,Japan,2020-10-23,2020-11-20,2020-11-21,Rail,Carrier_36,R822,Textiles,3522.46,1429.3,1158.24,Complete,0.94,5,Low,0.24,Both,"Incomplete paperwork, requires manual review",1,1
SHP000029,Japan,Australia,2020-08-29,2020-09-16,2020-09-17,Air,Carrier_3,R415,Automotive,49296.87,1248.17,1653.55,Complete,0.8,5,Low,0.76,Both,"Incomplete paperwork, requires manual review",1,1
SHP000030,Japan,Australia,2023-07-23,2023-08-16,2023-08-16,Air,Carrier_16,R985,Pharmaceuticals,12644.24,3654.67,3900.62,Complete,0.62,1,High,0.63,Document,Routine customs clearance without issue,0,0
SHP000031,UK,Germany,2021-12-28,2022-01-07,2022-01-10,Sea,Carrier_25,R993,Electronics,5424.2,4184.75,8711.38,Complete,0.59,3,Medium,0.19,Document,Routine customs clearance without issue,3,1
SHP000032,Germany,Brazil,2019-04-07,2019-05-03,2019-05-11,Air,Carrier_26,R436,Automotive,2997.98,2974.92,2137.45,Missing,0.81,5,High,0.02,Document,"Suspected undervaluation, needs reassessment",8,2
SHP000033,South Africa,Japan,2019-04-24,2019-05-02,2019-05-02,Road,Carrier_12,R694,Automotive,32613.47,913.11,1626.23,Error,0.81,3,Medium,0.39,Both,Routine customs clearance without issue,0,0
SHP000034,Japan,UAE,2024-09-25,2024-10-03,2024-10-05,Rail,Carrier_37,R294,Automotive,46899.77,730.73,1727.65,Complete,0.6,4,High,0.11,Both,"Suspected undervaluation, needs reassessment",2,1
SHP000035,Germany,UK,2023-11-02,2023-11-09,2023-11-13,Road,Carrier_40,R421,Machinery,41043.89,2798.24,3041.48,Error,0.72,2,High,0.24,Document,Random inspection selected,4,2
SHP000036,UK,Brazil,2020-06-05,2020-06-16,2020-06-16,Rail,Carrier_43,R488,Machinery,5562.04,4491.22,3851.88,Error,0.94,2,Medium,0.63,Both,Routine customs clearance without issue,0,0
SHP000037,China,Japan,2022-03-21,2022-04-01,2022-04-01,Rail,Carrier_38,R721,Machinery,36571.83,4490.7,6279.69,Missing,0.93,3,High,0.78,Physical,Incorrect HS code classification,0,0
SHP000038,UAE,USA,2019-12-14,2019-12-28,2019-12-28,Road,Carrier_6,R938,Pharmaceuticals,32459.55,466.49,6085.38,Complete,0.5,1,Low,0.9,Physical,High-risk commodity flagged for inspection,0,0
SHP000039,UAE,India,2024-02-09,2024-02-27,2024-02-29,Air,Carrier_46,R813,Textiles,1248.02,846.0,9099.61,Complete,0.73,1,High,0.69,Both,"Incomplete paperwork, requires manual review",2,1
SHP000040,India,UAE,2021-06-15,2021-06-25,2021-06-25,Rail,Carrier_4,R670,Pharmaceuticals,32946.1,1160.13,2988.68,Complete,0.83,3,High,0.24,Both,Incorrect HS code classification,0,0
SHP000041,Australia,Japan,2023-12-18,2024-01-11,2024-01-16,Rail,Carrier_36,R556,Pharmaceuticals,32832.01,4253.66,8777.67,Missing,0.79,1,High,0.57,Document,Routine customs clearance without issue,5,2
SHP000042,South Africa,UAE,2021-09-06,2021-09-19,2021-09-19,Rail,Carrier_5,R830,Automotive,5590.06,1870.19,4841.44,Missing,0.56,2,High,0.24,Physical,High-risk commodity flagged for inspection,0,0
SHP000043,USA,Brazil,2023-04-18,2023-05-15,2023-05-16,Air,Carrier_46,R319,Electronics,44710.28,3174.14,7797.62,Missing,0.88,4,Medium,0.5,Document,"Incomplete paperwork, requires manual review",1,1
SHP000044,Germany,UAE,2023-05-15,2023-06-13,2023-06-16,Sea,Carrier_49,R689,Textiles,29268.29,2487.96,8814.10,Missing,0.52,2,Medium,0.72,Document,Incorrect HS code classification,3,1
SHP000045,South Africa,Germany,2024-06-22,2024-07-04,2024-07-04,Road,Carrier_28,R597,Electronics,47082.47,4771.95,7371.53,Error,0.95,5,Medium,0.37,Both,High-risk commodity flagged for inspection,0,0
SHP000046,UAE,USA,2024-12-27,2025-01-01,2025-01-04,Rail,Carrier_38,R677,Machinery,1757.37,4645.18,1444.20,Error,0.66,3,Low,0.97,Document,High-risk commodity flagged for inspection,3,1
SHP000047,China,Japan,2023-04-02,2023-04-17,2023-04-17,Air,Carrier_30,R434,Automotive,42705.7,1618.76,7211.45,Missing,0.5,2,Low,0.56,Document,"Incomplete paperwork, requires manual review",0,0
SHP000048,South Africa,China,2022-12-04,2022-12-16,2022-12-16,Sea,Carrier_50,R767,Electronics,46871.58,3495.35,1508.41,Complete,0.74,0,High,0.1,Physical,High-risk commodity flagged for inspection,0,0
SHP000049,USA,South Africa,2020-04-13,2020-05-06,2020-05-08,Air,Carrier_30,R816,Automotive,43991.28,3716.8,7043.31,Error,0.82,4,High,0.7,Both,"Incomplete paperwork, requires manual review",2,1
SHP000050,USA,Japan,2020-03-18,2020-04-10,2020-04-10,Sea,Carrier_20,R689,Machinery,18615.07,1503.28,7149.60,Error,0.89,1,Low,0.81,Both,"Suspected undervaluation, needs reassessment",0,0
SHP000051,Germany,India,2022-05-20,2022-06-15,2022-06-18,Sea,Carrier_37,R901,Electronics,40116.46,3267.32,6688.78,Missing,0.82,5,Medium,0.8,Physical,Incorrect HS code classification,3,1
SHP000052,Japan,China,2023-09-17,2023-10-07,2023-10-20,Sea,Carrier_28,R470,Machinery,44610.26,1723.08,8532.29,Missing,0.63,1,High,0.09,Both,"Suspected undervaluation, needs reassessment",13,2
SHP000053,Brazil,Australia,2024-06-03,2024-06-22,2024-06-22,Rail,Carrier_47,R706,Automotive,23814.3,2736.09,6280.41,Complete,0.57,2,Medium,0.59,Physical,Routine customs clearance without issue,0,0
SHP000054,UAE,UK,2022-10-09,2022-10-14,2022-10-16,Rail,Carrier_21,R286,Textiles,2494.51,234.87,4475.55,Missing,0.89,2,Medium,0.36,Both,"Suspected undervaluation, needs reassessment",2,1
SHP000055,Brazil,Australia,2019-02-11,2019-03-04,2019-03-06,Air,Carrier_6,R347,Machinery,38729.68,1118.31,7658.72,Error,0.77,1,High,0.09,Document,"Suspected undervaluation, needs reassessment",2,1
SHP000056,UAE,South Africa,2019-03-12,2019-03-19,2019-03-19,Road,Carrier_15,R514,Machinery,3532.4,2680.21,4986.49,Error,0.72,4,Medium,0.64,Document,Incorrect HS code classification,0,0
SHP000057,South Africa,Japan,2023-10-09,2023-11-06,2023-11-06,Road,Carrier_23,R819,Textiles,39964.12,1390.62,5438.49,Missing,0.66,1,Low,0.08,Both,High-risk commodity flagged for inspection,0,0
SHP000058,Japan,India,2021-01-28,2021-02-08,2021-02-10,Air,Carrier_48,R595,Automotive,2242.19,4815.11,9595.86,Missing,0.9,0,Low,0.7,Document,High-risk commodity flagged for inspection,2,1
SHP000059,Japan,USA,2022-05-23,2022-05-28,2022-05-28,Air,Carrier_18,R146,Electronics,8665.42,1288.7,5786.99,Complete,0.73,5,Medium,0.71,Physical,Routine customs clearance without issue,0,0
SHP000060,China,Japan,2024-04-06,2024-04-26,2024-04-26,Rail,Carrier_22,R288,Electronics,33349.67,1435.67,5136.71,Complete,0.97,0,Medium,0.74,Document,"Incomplete paperwork, requires manual review",0,0
SHP000061,Australia,China,2020-09-13,2020-09-22,2020-09-30,Road,Carrier_6,R354,Electronics,21560.4,1276.27,7818.87,Error,0.61,4,Low,0.76,Both,Tariff dispute pending resolution,8,2
SHP000062,UAE,South Africa,2022-05-02,2022-05-25,2022-05-30,Rail,Carrier_20,R682,Food,1705.28,624.56,1986.88,Error,0.43,0,Low,0.04,Both,High-risk commodity flagged for inspection,5,2
SHP000063,Brazil,India,2020-10-05,2020-10-17,2020-10-20,Air,Carrier_36,R176,Pharmaceuticals,24234.52,534.28,1043.62,Missing,0.69,5,High,0.47,Document,Random inspection selected,3,1
SHP000064,China,Brazil,2022-03-26,2022-04-22,2022-04-26,Road,Carrier_45,R980,Textiles,9486.89,2197.57,2166.97,Complete,0.64,2,High,0.62,Both,"Suspected undervaluation, needs reassessment",4,2
SHP000065,Germany,UAE,2020-04-15,2020-05-07,2020-05-07,Air,Carrier_42,R252,Automotive,19356.02,3148.01,3330.19,Complete,0.7,1,Medium,0.86,Both,"Suspected undervaluation, needs reassessment",0,0
SHP000066,Australia,Brazil,2023-12-04,2023-12-12,2023-12-14,Rail,Carrier_45,R411,Machinery,33275.99,856.53,7594.44,Error,0.44,4,Medium,0.64,Document,"Incomplete paperwork, requires manual review",2,1
SHP000067,Australia,China,2023-11-05,2023-12-03,2023-12-05,Road,Carrier_39,R356,Electronics,47071.28,2898.6,2496.39,Error,0.63,4,High,0.64,Physical,Routine customs clearance without issue,2,1
SHP000068,Brazil,China,2020-12-18,2021-01-07,2021-01-07,Rail,Carrier_18,R285,Food,23454.39,2750.8,8141.91,Missing,0.96,0,Medium,0.39,Document,Tariff dispute pending resolution,0,0
SHP000069,Japan,UK,2020-03-04,2020-03-14,2020-03-16,Road,Carrier_27,R810,Textiles,4488.24,1628.93,5722.94,Missing,0.91,4,Low,0.02,Document,"Incomplete paperwork, requires manual review",2,1
SHP000070,Japan,Brazil,2022-08-17,2022-08-25,2022-08-25,Rail,Carrier_33,R944,Electronics,40908.96,1445.18,9889.69,Missing,0.47,0,Low,0.7,Both,Random inspection selected,0,0
SHP000071,Australia,UAE,2023-12-16,2024-01-14,2024-01-18,Sea,Carrier_14,R373,Food,37018.48,4027.23,3146.46,Missing,0.57,5,Medium,0.18,Physical,"Incomplete paperwork, requires manual review",4,2
SHP000072,Australia,Germany,2020-10-10,2020-10-24,2020-10-26,Sea,Carrier_36,R517,Electronics,37780.12,4043.83,4681.24,Missing,0.99,0,High,0.41,Physical,Tariff dispute pending resolution,2,1
SHP000073,Brazil,Australia,2022-01-24,2022-02-11,2022-02-16,Rail,Carrier_31,R349,Textiles,17699.37,4657.25,3369.59,Complete,0.92,4,High,0.43,Both,High-risk commodity flagged for inspection,5,2
SHP000074,India,Japan,2023-08-27,2023-09-11,2023-09-11,Road,Carrier_1,R389,Machinery,37792.68,3784.99,5891.85,Error,0.46,5,Medium,0.9,Physical,Tariff dispute pending resolution,0,0
SHP000075,South Africa,UAE,2022-11-14,2022-11-29,2022-12-04,Rail,Carrier_30,R429,Pharmaceuticals,16682.43,4482.84,4912.83,Missing,0.63,1,Medium,0.01,Physical,Random inspection selected,5,2
SHP000076,UAE,UK,2023-05-01,2023-05-27,2023-05-29,Air,Carrier_32,R137,Pharmaceuticals,45363.72,501.87,9229.85,Missing,0.59,0,Medium,0.95,Physical,Incorrect HS code classification,2,1
SHP000077,UAE,China,2020-08-13,2020-08-31,2020-09-02,Air,Carrier_5,R580,Automotive,31960.02,2269.81,6546.89,Error,0.58,3,High,0.33,Physical,Routine customs clearance without issue,2,1
SHP000078,Japan,Australia,2023-04-06,2023-04-21,2023-04-24,Rail,Carrier_35,R136,Food,33953.4,3774.25,2121.40,Error,0.87,5,Medium,0.79,Physical,"Suspected undervaluation, needs reassessment",3,1
SHP000079,India,UAE,2020-02-08,2020-03-08,2020-03-09,Sea,Carrier_29,R270,Machinery,3820.38,2770.17,5906.13,Complete,0.66,2,Low,0.89,Document,Random inspection selected,1,1
SHP000080,Japan,UAE,2020-08-19,2020-08-31,2020-08-31,Rail,Carrier_37,R798,Pharmaceuticals,18194.84,629.48,3785.32,Complete,0.49,4,Medium,0.76,Both,"Suspected undervaluation, needs reassessment",0,0
SHP000081,Germany,South Africa,2020-08-09,2020-08-21,2020-08-21,Rail,Carrier_41,R360,Textiles,5121.23,3519.8,5183.95,Complete,0.44,3,Medium,0.82,Both,Incorrect HS code classification,0,0
SHP000082,USA,India,2023-12-15,2023-12-31,2024-01-02,Road,Carrier_41,R534,Machinery,35605.87,452.68,5097.68,Missing,0.45,1,Medium,0.99,Document,"Incomplete paperwork, requires manual review",2,1
SHP000083,Germany,UAE,2023-01-10,2023-02-02,2023-02-02,Road,Carrier_45,R402,Electronics,40827.18,4738.88,7484.45,Complete,0.99,4,High,0.75,Both,"Incomplete paperwork, requires manual review",0,0
SHP000084,Australia,UAE,2022-03-18,2022-04-16,2022-04-16,Air,Carrier_39,R921,Automotive,19436.72,463.33,4588.91,Complete,0.87,4,Medium,0.56,Both,Routine customs clearance without issue,0,0
SHP000085,USA,India,2019-06-11,2019-06-25,2019-06-29,Rail,Carrier_3,R693,Automotive,6448.68,2488.49,3153.21,Missing,0.41,2,High,0.47,Document,High-risk commodity flagged for inspection,4,2
SHP000086,Germany,USA,2023-02-07,2023-02-28,2023-03-01,Road,Carrier_11,R363,Textiles,3758.86,638.15,5835.53,Complete,0.47,3,Low,0.65,Physical,Routine customs clearance without issue,1,1
SHP000087,Germany,UAE,2023-02-07,2023-02-14,2023-02-17,Rail,Carrier_1,R370,Food,48146.45,1905.61,3024.68,Missing,0.57,5,High,0.87,Both,Random inspection selected,3,1
SHP000088,Australia,UK,2023-03-02,2023-03-10,2023-03-16,Air,Carrier_31,R125,Food,11956.2,4817.95,6374.88,Complete,0.41,5,Low,0.97,Both,Routine customs clearance without issue,6,2
SHP000089,UAE,Brazil,2023-07-31,2023-08-08,2023-08-10,Air,Carrier_3,R138,Automotive,4616.03,2791.58,9071.24,Complete,0.98,1,High,0.52,Physical,Tariff dispute pending resolution,2,1
SHP000090,UAE,Japan,2023-09-13,2023-10-06,2023-10-08,Air,Carrier_27,R770,Electronics,31840.53,3493.96,9017.88,Missing,0.67,2,Low,0.63,Both,Random inspection selected,2,1
SHP000091,Germany,South Africa,2023-12-27,2024-01-08,2024-01-12,Road,Carrier_7,R802,Automotive,3226.87,1440.77,9920.92,Missing,0.97,0,Medium,0.89,Document,High-risk commodity flagged for inspection,4,2
SHP000092,India,South Africa,2020-01-11,2020-02-06,2020-02-08,Air,Carrier_42,R754,Food,23327.18,3119.66,1349.16,Missing,0.57,1,Low,0.19,Both,High-risk commodity flagged for inspection,2,1
SHP000093,India,Australia,2021-04-28,2021-05-21,2021-05-21,Air,Carrier_15,R436,Pharmaceuticals,29599.15,434.79,1046.45,Complete,0.98,1,High,0.99,Document,Routine customs clearance without issue,0,0
SHP000094,USA,India,2019-04-16,2019-04-25,2019-04-25,Sea,Carrier_23,R908,Pharmaceuticals,35209.92,2703.68,6304.12,Complete,0.59,2,Low,0.81,Physical,"Suspected undervaluation, needs reassessment",0,0
SHP000095,UK,Australia,2020-04-10,2020-05-08,2020-05-08,Sea,Carrier_31,R559,Automotive,45635.43,4121.56,9408.85,Complete,0.97,3,High,0.73,Physical,Incorrect HS code classification,0,0
SHP000096,China,Australia,2022-05-20,2022-06-08,2022-06-11,Sea,Carrier_4,R590,Textiles,31057.34,2120.3,7984.97,Complete,0.96,3,High,0.87,Document,"Incomplete paperwork, requires manual review",3,1
SHP000097,India,UK,2020-08-30,2020-09-06,2020-09-11,Air,Carrier_18,R739,Machinery,49376.53,794.56,9984.51,Missing,0.76,4,High,0.38,Document,Tariff dispute pending resolution,5,2
SHP000098,South Africa,UK,2020-02-11,2020-03-12,2020-03-12,Sea,Carrier_42,R766,Food,48525.81,4218.49,4522.65,Missing,0.9,1,Medium,0.47,Document,Routine customs clearance without issue,0,0
SHP000099,UAE,UK,2023-08-31,2023-09-28,2023-09-28,Sea,Carrier_21,R537,Automotive,3762.4,4330.38,5176.57,Complete,0.89,5,Medium,1.0,Physical,"Incomplete paperwork, requires manual review",0,0
SHP000100,India,USA,2023-11-04,2023-11-12,2023-11-12,Road,Carrier_9,R669,Electronics,49835.21,2799.39,6400.95,Complete,0.86,3,Medium,0.94,Both,Routine customs clearance without issue,0,0
SHP000101,UK,China,2022-03-24,2022-04-17,2022-04-17,Road,Carrier_23,R206,Food,23076.66,689.34,9313.37,Complete,0.97,5,Medium,0.61,Physical,Routine customs clearance without issue,0,0
SHP000102,India,UK,2023-02-14,2023-02-22,2023-02-25,Road,Carrier_37,R331,Textiles,12203.5,3374.92,1430.87,Error,0.77,5,Medium,0.36,Physical,High-risk commodity flagged for inspection,3,1
SHP000103,Brazil,Japan,2022-10-23,2022-11-08,2022-11-10,Sea,Carrier_12,R990,Pharmaceuticals,26495.08,3872.98,7566.18,Complete,0.71,5,High,0.85,Physical,"Incomplete paperwork, requires manual review",2,1
SHP000104,South Africa,Germany,2023-03-21,2023-04-08,2023-04-08,Rail,Carrier_22,R261,Automotive,28043.44,2826.64,6105.51,Error,0.93,4,Low,0.4,Physical,High-risk commodity flagged for inspection,0,0
SHP000105,USA,China,2019-12-01,2019-12-14,2019-12-17,Rail,Carrier_43,R534,Textiles,35499.91,1104.17,8242.63,Missing,0.48,1,High,0.01,Physical,Random inspection selected,3,1
SHP000106,UK,India,2022-03-06,2022-04-01,2022-04-07,Rail,Carrier_34,R783,Automotive,18178.79,2970.09,1744.38,Missing,0.64,4,Low,0.44,Physical,High-risk commodity flagged for inspection,6,2
SHP000107,Brazil,Germany,2020-07-16,2020-08-14,2020-08-15,Road,Carrier_19,R435,Electronics,26185.48,3929.08,1126.73,Error,0.64,3,Low,0.62,Physical,Tariff dispute pending resolution,1,1
SHP000108,South Africa,Germany,2024-08-11,2024-09-02,2024-09-06,Road,Carrier_5,R506,Machinery,43255.82,4750.13,1693.65,Complete,0.49,3,Low,0.93,Document,Incorrect HS code classification,4,2
SHP000109,UK,UAE,2023-09-07,2023-09-21,2023-09-21,Sea,Carrier_26,R121,Automotive,23497.65,4901.16,3815.89,Missing,0.7,5,Medium,0.33,Physical,Tariff dispute pending resolution,0,0
SHP000110,India,Brazil,2023-11-20,2023-12-13,2023-12-14,Rail,Carrier_34,R180,Textiles,32036.64,1238.72,6083.53,Complete,0.45,2,Low,0.13,Physical,Incorrect HS code classification,1,1
SHP000111,India,Australia,2024-09-19,2024-09-30,2024-10-03,Road,Carrier_23,R844,Machinery,9912.12,1761.05,3419.40,Complete,0.94,1,Medium,0.47,Physical,High-risk commodity flagged for inspection,3,1
SHP000112,Australia,USA,2019-11-05,2019-11-15,2019-11-15,Rail,Carrier_30,R872,Food,33710.33,902.98,8354.97,Error,0.52,5,High,0.04,Both,Random inspection selected,0,0
SHP000113,Japan,USA,2023-12-07,2023-12-14,2023-12-14,Rail,Carrier_29,R746,Automotive,9673.51,489.08,5500.85,Complete,0.47,2,High,0.46,Physical,Random inspection selected,0,0
SHP000114,UAE,South Africa,2019-06-04,2019-06-10,2019-06-10,Road,Carrier_19,R178,Machinery,11110.35,1853.14,2479.88,Error,0.7,4,Medium,0.69,Document,Incorrect HS code classification,0,0
SHP000115,South Africa,China,2024-01-17,2024-02-16,2024-02-16,Air,Carrier_21,R719,Textiles,43805.35,4608.32,9214.29,Complete,0.44,3,Low,0.28,Document,"Suspected undervaluation, needs reassessment",0,0
SHP000116,India,Australia,2020-12-07,2020-12-13,2020-12-15,Air,Carrier_46,R548,Textiles,40503.86,3753.89,9586.76,Error,0.51,1,Medium,0.21,Document,Random inspection selected,2,1
SHP000117,UK,UAE,2022-10-17,2022-11-12,2022-11-13,Sea,Carrier_41,R762,Automotive,31294.48,1876.12,2079.52,Complete,0.68,4,High,0.75,Document,Random inspection selected,1,1
SHP000118,Brazil,USA,2022-09-27,2022-10-04,2022-10-04,Air,Carrier_23,R417,Machinery,2797.48,1299.56,7421.26,Error,0.83,5,Low,0.9,Document,Incorrect HS code classification,0,0
SHP000119,UK,Japan,2020-06-07,2020-07-03,2020-07-14,Sea,Carrier_42,R786,Textiles,6251.43,2264.69,9331.56,Complete,0.72,2,Medium,0.24,Physical,High-risk commodity flagged for inspection,11,2
SHP000120,Japan,South Africa,2021-02-25,2021-03-09,2021-03-14,Air,Carrier_10,R179,Automotive,14192.92,1917.56,2657.74,Error,0.41,5,High,0.32,Physical,"Suspected undervaluation, needs reassessment",5,2
SHP000121,Japan,USA,2023-03-24,2023-04-02,2023-04-02,Air,Carrier_12,R951,Machinery,6868.34,4458.11,3712.66,Complete,0.76,3,Medium,0.68,Both,"Suspected undervaluation, needs reassessment",0,0
SHP000122,Germany,South Africa,2022-03-13,2022-04-11,2022-04-11,Rail,Carrier_15,R646,Pharmaceuticals,39669.39,2517.29,6070.70,Complete,0.45,2,High,0.54,Both,Tariff dispute pending resolution,0,0
SHP000123,UAE,Brazil,2023-04-14,2023-05-05,2023-05-11,Rail,Carrier_11,R936,Pharmaceuticals,22151.32,681.52,3267.42,Complete,0.57,5,Medium,0.36,Document,Incorrect HS code classification,6,2
SHP000124,India,Australia,2020-05-25,2020-06-08,2020-06-11,Sea,Carrier_49,R264,Automotive,32649.94,2875.35,8361.75,Complete,0.61,3,Low,0.99,Physical,Routine customs clearance without issue,3,1
SHP000125,UAE,Japan,2019-04-20,2019-05-08,2019-05-08,Sea,Carrier_26,R614,Automotive,5987.34,806.65,4862.59,Complete,0.55,2,Low,0.16,Physical,Random inspection selected,0,0
SHP000126,India,UK,2020-08-21,2020-08-30,2020-09-02,Sea,Carrier_19,R949,Textiles,10141.78,1461.22,3273.70,Missing,0.5,4,Low,0.9,Physical,"Incomplete paperwork, requires manual review",3,1
SHP000127,Brazil,Germany,2020-09-04,2020-09-26,2020-09-28,Rail,Carrier_8,R894,Automotive,21109.44,4912.77,4893.48,Complete,0.47,0,Low,0.4,Document,"Suspected undervaluation, needs reassessment",2,1
SHP000128,Australia,UAE,2019-09-15,2019-09-23,2019-09-23,Rail,Carrier_39,R648,Electronics,48504.05,4334.26,9443.83,Complete,0.89,5,Low,0.26,Document,Tariff dispute pending resolution,0,0
SHP000129,China,UK,2021-09-12,2021-10-05,2021-10-08,Rail,Carrier_12,R780,Machinery,46539.42,2805.98,2402.77,Missing,0.74,0,High,0.28,Both,Incorrect HS code classification,3,1
